"main.id","hpq_phiheal_life_mem.id","phiheal_life_mem_refno"
"203407","0","2"
"203547","0","1"
"203547","1","2"
"203547","2","3"
"203581","0","1"
"203581","1","3"
"203581","2","3"
"203581","3","4"
"212892","0","2"
"213202","0","1"
"213204","0","1"
"213204","1","2"
"213204","2","3"
"213204","3","4"
"213204","4","5"
"213204","5","6"
"213225","0","1"
"213225","1","2"
"213344","0","2"
"213344","1","1"
"213348","0","2"
"216505","0","1"
"216509","0","1"
"216509","1","2"
"216511","0","4"
"216513","0","1"
"216515","0","1"
"216515","1","2"
"216517","0","1"
"216517","1","2"
"216519","0","1"
"216519","1","2"
"216520","0","1"
"216520","1","2"
"216520","2","3"
"216520","3","4"
"216527","0","1"
"216530","0","1"
"216530","1","2"
"216530","2","3"
"216530","3","4"
"216535","0","1"
"216535","1","2"
"216535","2","3"
"216535","3","4"
"216537","0","1"
"216546","0","2"
"216546","1","3"
"217008","0","1"
"217008","1","2"
"217008","2","3"
"217008","3","4"
"217008","4","5"
"217008","5","6"
"217187","0","2"
"219707","0","1"
"219715","0","1"
"219715","1","2"
"219715","2","3"
"219715","3","4"
"219715","4","5"
"219717","0","1"
"219717","1","3"
"219718","0","1"
"219725","0","1"
"219725","1","2"
"219725","2","3"
"219725","3","5"
"221447","0","3"
"221447","1","4"
"221456","0","1"
"221459","0","1"
"221459","1","2"
"221461","0","1"
"221465","0","6"
"221468","0","1"
"221469","0","1"
"221472","0","1"
"221532","0","1"
"221534","0","1"
"226978","0","1"
"226978","1","2"
"227009","0","1"
"227013","0","1"
"229243","0","1"
"229250","0","3"
"229253","0","2"
"229258","0","1"
"229258","1","2"
"229260","0","2"
"229261","0","2"
"229264","0","2"
"229268","0","1"
"229268","1","2"
"229277","0","1"
"229280","0","1"
"229281","0","1"
"229281","1","2"
"231320","0","1"
"231320","1","2"
"231753","0","2"
"231770","0","1"
"231770","1","2"
"231773","0","1"
"231777","0","2"
"231798","0","1"
"232409","0","1"
"232419","0","1"
"232419","1","2"
"232419","2","3"
"232439","0","1"
"232439","1","2"
"232439","2","3"
"232441","0","1"
"232441","1","2"
"232441","2","3"
"232443","0","1"
"232443","1","2"
"232443","2","3"
"232443","3","4"
"232451","0","1"
"232461","0","1"
"232461","1","2"
"232461","2","4"
"232461","3","4"
"233325","0","1"
"233325","1","2"
"233335","0","1"
"233335","1","2"
"233344","0","1"
"233344","1","2"
"233346","0","1"
"233346","1","2"
"233346","2","3"
"233346","3","4"
"233351","0","1"
"233351","1","2"
"233352","0","1"
"233352","1","2"
"233352","2","3"
"233352","3","4"
"233363","0","1"
"233363","1","2"
"233364","0","1"
"233364","1","2"
"233364","2","3"
"235142","0","1"
"236087","0","1"
"236101","0","1"
"236101","1","2"
"236206","0","1"
"236206","1","2"
"236210","0","1"
"236210","1","2"
"236210","2","3"
"236286","0","1"
"236286","1","2"
"236286","2","3"
"236286","3","4"
"236286","4","5"
"243321","0","2"
"243327","0","1"
"243327","1","2"
"243329","0","2"
"243330","0","2"
"243331","0","1"
"243331","1","2"
"243342","0","1"
"243350","0","1"
"243365","0","1"
"243365","1","2"
"243380","0","1"
"245393","0","1"
"245393","1","2"
"245393","2","3"
"245393","3","4"
"245393","4","5"
"245395","0","1"
"245395","1","2"
"245395","2","3"
"245395","3","4"
"245397","0","1"
"245418","0","1"
"245418","1","2"
"245429","0","1"
"245429","1","2"
"245429","2","3"
"245429","3","4"
"245441","0","1"
"245441","1","2"
"245461","0","1"
"245461","1","2"
"245461","2","3"
"245482","0","1"
"245482","1","2"
"245499","0","1"
"247207","0","1"
"247207","1","2"
"247207","2","3"
"247207","3","4"
"247225","0","4"
"248639","0","1"
"252427","0","1"
"262205","0","1"
"262227","0","2"
"266185","0","1"
"266185","1","2"
"266185","2","3"
"266185","3","4"
"266185","4","5"
"266185","5","6"
"266185","6","7"
"266185","7","8"
"266185","8","11"
"266191","0","1"
"266194","0","1"
"266195","0","1"
"266195","1","2"
"266198","0","1"
"266198","1","2"
"266198","2","3"
"266198","3","4"
"266198","4","5"
"266199","0","1"
"266199","1","2"
"266201","0","1"
"266201","1","2"
"266203","0","1"
"266203","1","2"
"266203","2","3"
"266204","0","1"
"266204","1","2"
"266204","2","3"
"266205","0","1"
"266205","1","2"
"266205","2","3"
"266206","0","1"
"266206","1","2"
"266208","0","1"
"266208","1","2"
"266208","2","3"
"266208","3","4"
"266209","0","1"
"266209","1","2"
"266209","2","3"
"266209","3","4"
"266227","0","1"
"266227","1","2"
"266244","0","1"
"266244","1","2"
"266244","2","3"
"266244","3","4"
"266244","4","5"
"266248","0","1"
"266248","1","2"
"266248","2","3"
"266252","0","1"
"266254","0","1"
"266254","1","2"
"266254","2","6"
"266262","0","1"
"266262","1","2"
"266262","2","3"
"266262","3","4"
"266269","0","1"
"266269","1","2"
"266269","2","4"
"266297","0","1"
"266297","1","2"
"266297","2","3"
"266297","3","4"
"266297","4","5"
"266304","0","2"
"266304","1","3"
"266304","2","4"
"266304","3","5"
"266314","0","1"
"266314","1","2"
"266314","2","3"
"266314","3","4"
"266314","4","5"
"286383","0","2"
"286387","0","1"
"286399","0","1"
"307979","0","1"
"307980","0","1"
"307980","1","2"
"307980","2","3"
"307980","3","4"
"307982","0","1"
"307982","1","2"
"307982","2","3"
"307982","3","4"
"307982","4","5"
"307982","5","6"
"307982","6","7"
"307984","0","1"
"307987","0","1"
"307987","1","2"
"307987","2","3"
"308000","0","1"
"308000","1","2"
"308001","0","1"
"308001","1","2"
"308001","2","6"
"308001","3","7"
"308009","0","1"
"308009","1","2"
"308011","0","1"
"308011","1","2"
"308011","2","3"
"308011","3","4"
"308011","4","5"
"308018","0","1"
"308018","1","2"
"308018","2","3"
"308018","3","4"
"308023","0","1"
"308023","1","2"
"308023","2","3"
"308023","3","4"
"308023","4","5"
"308023","5","6"
"308023","6","7"
"308025","0","1"
"308025","1","2"
"308025","2","3"
"308028","0","1"
"308028","1","2"
"308028","2","3"
"308028","3","4"
"308028","4","5"
"308035","0","1"
"308035","1","3"
"308041","0","1"
"308041","1","2"
"308043","0","1"
"308043","1","2"
"308043","2","3"
"308043","3","4"
"308043","4","5"
"308043","5","6"
"308043","6","7"
"309803","0","2"
"309803","1","3"
"309810","0","1"
"309810","1","2"
"309811","0","2"
"309816","0","4"
"309842","0","1"
"309862","0","1"
"309862","1","2"
"309864","0","1"
"309870","0","6"
"309883","0","1"
"309891","0","1"
"309891","1","2"
"309895","0","1"
"309895","1","2"
"309929","0","1"
"309951","0","1"
"309952","0","1"
"309952","1","2"
"309953","0","1"
"309953","1","2"
"309953","2","3"
"309954","0","1"
"309954","1","2"
"310007","0","1"
"310007","1","2"
"310135","0","1"
"310135","1","2"
"310315","0","1"
"310342","0","1"
"310412","0","1"
"310415","0","1"
"310419","0","1"
"310464","0","1"
"310464","1","2"
"310464","2","3"
"310468","0","1"
"310468","1","2"
"310545","0","1"
"310545","1","2"
"310545","2","3"
"310545","3","4"
"310582","0","3"
"310585","0","1"
"310662","0","1"
"310662","1","2"
"311607","0","2"
"311607","1","3"
"311607","2","4"
"311607","3","5"
"311607","4","6"
"311607","5","7"
"311619","0","1"
"311619","1","2"
"311619","2","3"
"311619","3","4"
"311619","4","5"
"311619","5","6"
"311619","6","7"
"311625","0","1"
"311625","1","2"
"311625","2","3"
"311625","3","4"
"311625","4","6"
"311625","5","7"
"311627","0","1"
"311627","1","2"
"311627","2","3"
"311633","0","1"
"311633","1","2"
"311633","2","3"
"311633","3","4"
"311633","4","5"
"311633","5","6"
"311645","0","1"
"311645","1","2"
"311649","0","1"
"311649","1","2"
"311655","0","1"
"311655","1","2"
"311659","0","1"
"311659","1","2"
"311659","2","3"
"311659","3","4"
"311664","0","1"
"311664","1","2"
"311664","2","4"
"311664","3","5"
"311664","4","6"
"311668","0","1"
"311668","1","2"
"311668","2","3"
"311668","3","4"
"311668","4","5"
"311669","0","1"
"311669","1","2"
"311670","0","1"
"311670","1","2"
"311670","2","3"
"311670","3","4"
"311670","4","5"
"311673","0","1"
"311673","1","2"
"311673","2","3"
"311673","3","4"
"311673","4","5"
"311675","0","1"
"311675","1","2"
"311675","2","4"
"311677","0","1"
"311677","1","2"
"311677","2","3"
"311677","3","4"
"311678","0","1"
"311679","0","1"
"311679","1","2"
"311679","2","3"
"311679","3","4"
"311679","4","5"
"311679","5","6"
"311681","0","1"
"311681","1","2"
"311681","2","3"
"311681","3","4"
"311681","4","5"
"311687","0","1"
"311687","1","2"
"311687","2","4"
"311687","3","5"
"311688","0","1"
"311688","1","2"
"311688","2","4"
"311688","3","5"
"311688","4","6"
"311690","0","1"
"311690","1","2"
"311692","0","1"
"311692","1","2"
"311692","2","3"
"311692","3","4"
"311692","4","5"
"311696","0","1"
"311696","1","2"
"311696","2","3"
"311696","3","4"
"311699","0","1"
"311699","1","2"
"311699","2","3"
"311699","3","4"
"311699","4","5"
"311699","5","6"
"311704","0","1"
"311704","1","2"
"311704","2","3"
"311704","3","4"
"311704","4","5"
"311712","0","1"
"311712","1","2"
"311712","2","3"
"311712","3","4"
"311712","4","5"
"311724","0","2"
"311724","1","3"
"311724","2","4"
"311724","3","5"
"311724","4","6"
"311724","5","7"
"311727","0","1"
"311736","0","1"
"311736","1","2"
"311736","2","3"
"311736","3","4"
"311736","4","5"
"311738","0","1"
"311738","1","2"
"311738","2","3"
"311738","3","4"
"311738","4","5"
"311742","0","1"
"311747","0","1"
"311747","1","2"
"311747","2","3"
"311747","3","4"
"311747","4","5"
"311747","5","6"
"311747","6","7"
"311750","0","2"
"311753","0","1"
"311753","1","2"
"311754","0","1"
"311757","0","1"
"311757","1","2"
"311757","2","3"
"311757","3","4"
"311757","4","5"
"311757","5","6"
"314594","0","2"
"315425","0","1"
"315425","1","2"
"317059","0","1"
"317059","1","2"
"317060","0","1"
"317060","1","2"
"317074","0","1"
"317074","1","2"
"317074","2","3"
"317083","0","1"
"317098","0","1"
"317098","1","2"
"317104","0","1"
"317108","0","1"
"317132","0","1"
"317208","0","1"
"317208","1","2"
"317213","0","1"
"317213","1","2"
"317240","0","1"
"317246","0","1"
"317246","1","2"
"321865","0","1"
"321885","0","1"
"321907","0","1"
"321919","0","1"
"321925","0","1"
"321925","1","2"
"321948","0","1"
"321948","1","2"
"328642","0","1"
"328642","1","2"
"328683","0","1"
"328711","0","1"
"328719","0","1"
"329900","0","1"
"329905","0","1"
"329905","1","2"
"329905","2","3"
"329920","0","2"
"329920","1","1"
"329948","0","1"
"329948","1","2"
"332298","0","1"
"332299","0","2"
"335034","0","1"
"335034","1","2"
"335038","0","1"
"335038","1","2"
"335038","2","3"
"335038","3","4"
"335041","0","1"
"335041","1","2"
"335041","2","3"
"335041","3","4"
"335041","4","5"
"335041","5","6"
"335041","6","7"
"335044","0","1"
"335044","1","2"
"335044","2","3"
"335051","0","1"
"335051","1","2"
"335051","2","3"
"335051","3","4"
"335051","4","5"
"335051","5","6"
"335051","6","7"
"335053","0","1"
"335053","1","2"
"335053","2","3"
"335053","3","4"
"335056","0","1"
"335056","1","2"
"335056","2","4"
"335056","3","5"
"335058","0","1"
"335058","1","2"
"335058","2","3"
"335058","3","4"
"335060","0","1"
"335060","1","2"
"335060","2","3"
"335060","3","4"
"335060","4","5"
"335060","5","6"
"335060","6","7"
"335060","7","8"
"335060","8","9"
"335062","0","1"
"335062","1","2"
"335063","0","1"
"335063","1","2"
"335063","2","3"
"335063","3","4"
"335063","4","5"
"335063","5","6"
"335063","6","7"
"335064","0","1"
"335064","1","2"
"335064","2","3"
"335074","0","1"
"335074","1","2"
"335074","2","3"
"335074","3","4"
"335074","4","5"
"335075","0","1"
"335075","1","2"
"335075","2","3"
"335076","0","1"
"335076","1","2"
"335076","2","3"
"335076","3","4"
"335076","4","5"
"335080","0","1"
"335080","1","2"
"335080","2","3"
"335080","3","4"
"335080","4","5"
"335080","5","6"
"335083","0","1"
"335083","1","2"
"335083","2","3"
"335087","0","1"
"335087","1","2"
"335087","2","3"
"335087","3","4"
"335090","0","1"
"335090","1","2"
"335090","2","3"
"335090","3","4"
"335090","4","5"
"335090","5","6"
"335090","6","7"
"335090","7","8"
"335090","8","9"
"335097","0","1"
"335097","1","2"
"335097","2","3"
"335097","3","4"
"335097","4","5"
"336861","0","2"
"336861","1","1"
"336874","0","1"
"336874","1","2"
"336874","2","3"
"336884","0","1"
"336884","1","2"
"336884","2","3"
"336884","3","4"
"336902","0","1"
"336902","1","2"
"336908","0","1"
"336908","1","2"
"336908","2","3"
"336908","3","4"
"336908","4","5"
"336908","5","6"
"336908","6","7"
"336922","0","1"
"336922","1","2"
"336922","2","3"
"336922","3","4"
"336922","4","5"
"336924","0","1"
"336924","1","2"
"336924","2","3"
"336924","3","4"
"336924","4","5"
"336924","5","6"
"336924","6","7"
"336931","0","1"
"336931","1","2"
"336931","2","3"
"336931","3","4"
"336931","4","5"
"336937","0","1"
"336937","1","2"
"336937","2","3"
"336937","3","4"
"336937","4","5"
"336937","5","6"
"336940","0","1"
"336940","1","2"
"336940","2","3"
"336940","3","4"
"336940","4","5"
"336940","5","6"
"336940","6","7"
"336942","0","1"
"336942","1","2"
"336942","2","3"
"336942","3","4"
"336942","4","5"
"336942","5","6"
"336942","6","7"
"340410","0","1"
"340410","1","2"
"351876","0","1"
"351876","1","2"
"351876","2","3"
"367211","0","1"
"367211","1","2"
"392695","0","1"
"392695","1","2"
"392695","2","3"
"392695","3","4"
"392695","4","5"
"392698","0","1"
"392698","1","2"
"392698","2","5"
"392698","3","11"
"392701","0","1"
